Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;Ingresos anuales brutos;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;Campanna_anno;Cluster
M;Si;87;No;Otros;25;Bajo;1;39937;1.619;30;0;554;4.0;3
M;No;35;No;Medico;15;Bajo;6;21130;0.686;30;0;440;3.0;0
M;Si;53;Si;Artista;25;Medio;3;42378;1.502;30;0;349;0.5;1
F;No;28;Si;Ingeniero;5;Bajo;7;18101;0.995;30;0;583;4.0;0
M;No;29;Si;Funcionario;5;Bajo;4;24623;2.03;30;0;303;0.5;2
F;Si;35;No;Medico;15;Alto;6;24709;2.02;30;0;308;0.5;2
M;Si;63;No;Otros;25;Bajo;1;55596;1.756;30;0;493;3.0;3
M;Si;78;Si;Servicios;25;Bajo;2;72200;1.697;50;0;432;1.0;1
M;Si;53;Si;Artista;25;Bajo;3;58447;0.837;80;1;345;0.5;1
M;Si;51;No;Otros;25;Alto;3;127755;0.915;200;0;583;4.0;4
F;Si;61;Si;Artista;25;Bajo;1;38670;1.58;50;0;435;1.0;1
M;Si;36;No;Artista;15;Bajo;4;25302;1.307;30;0;370;3.0;0
M;Si;66;Si;Otros;25;Medio;4;31448;0.564;30;0;416;3.0;3
F;Si;64;Si;Artista;25;Bajo;1;53616;1.658;50;0;513;1.0;3
M;Si;66;Si;Artista;25;Alto;3;49137;1.697;30;0;328;0.5;1
M;No;58;Si;Artista;25;Bajo;1;24312;0.622;30;0;367;3.0;3
M;Si;78;No;Servicios;25;Bajo;1;118234;0.642;120;0;490;3.0;4
M;Si;42;Si;Artista;25;Medio;3;35844;1.652;30;1;363;0.5;1
M;Si;55;Si;Servicios;25;Medio;4;75911;1.052;80;1;339;0.5;1
M;Si;62;Si;Ejecutivo;25;Alto;2;114075;0.622;50;0;543;4.0;3
M;No;77;No;Otros;25;Bajo;1;84587;1.404;120;0;575;4.0;4
M;Si;53;No;Otros;25;Medio;2;115668;1.619;120;1;349;0.5;1
M;Si;68;Si;Artista;25;Bajo;1;96966;1.697;50;0;489;1.0;3
M;Si;39;No;Medico;15;Bajo;4;26667;1.836;30;0;593;4.0;0
F;Si;75;No;Servicios;25;Bajo;1;38733;1.306;30;1;361;0.5;1
F;Si;40;Si;Otros;15;Medio;3;61484;0.778;30;0;393;3.0;3
M;Si;52;Si;Artista;25;Medio;4;89892;1.463;80;0;535;4.0;3
F;Si;62;Si;Negocios/empresa;25;Medio;2;78595;1.639;50;1;357;0.5;1
M;Si;39;Si;Artista;15;Alto;2;29266;1.031;30;0;446;3.0;3
M;Si;62;No;Otros;25;Medio;3;106020;0.994;30;0;470;3.0;3
M;Si;55;Si;Otros;25;Medio;2;52489;1.013;50;1;347;0.5;1
M;Si;47;No;Otros;25;Medio;3;36600;0.857;30;0;551;4.0;3
M;Si;52;No;Ingeniero;25;Bajo;1;112464;1.346;120;0;592;4.0;4
F;Si;62;Si;Artista;25;Bajo;1;21634;1.756;30;0;363;0.5;1
F;Si;50;Si;Artista;25;Bajo;3;22203;0.915;30;0;464;3.0;3
M;Si;51;Si;Artista;25;Medio;4;29424;0.876;30;0;558;4.0;3
M;Si;94;Si;Ejecutivo;25;Alto;2;44419;1.072;50;0;513;4.0;3
F;No;39;No;Otros;15;Bajo;1;24785;1.123;30;0;519;4.0;0
M;Si;42;Si;Artista;25;Bajo;1;104130;0.916;50;1;303;0.5;1
F;Si;53;Si;Artista;25;Medio;3;41021;1.619;30;0;476;3.0;3
F;Si;64;Si;Ingeniero;25;Medio;1;106524;0.935;50;0;442;3.0;3
M;Si;51;No;Otros;25;Medio;4;98403;1.033;30;0;405;3.0;3
F;No;89;Si;Servicios;25;Bajo;1;127007;0.622;50;0;322;0.5;1
M;Si;73;Si;Servicios;25;Alto;2;49840;1.15;50;0;335;0.5;1
F;No;24;No;Medico;5;Bajo;2;22967;12.015;30;1;303;0.5;2
M;Si;56;Si;Otros;25;Bajo;2;49373;0.915;50;0;433;3.0;3
F;No;36;Si;Ingeniero;15;Bajo;6;30512;1.514;30;0;520;1.0;0
F;No;32;Si;Ingeniero;15;Bajo;1;29093;1.606;30;0;346;0.5;2
F;No;53;Si;Servicios;25;Bajo;1;81032;0.7;50;1;324;0.5;1
M;Si;51;Si;Artista;25;Medio;2;116511;11.305;50;1;373;3.0;1
M;Si;58;Si;Otros;25;Bajo;2;91773;0.72;50;0;408;3.0;3
M;Si;52;Si;Artista;25;Bajo;1;68642;0.603;50;1;358;0.5;1
F;Si;44;No;Construccion;25;Bajo;1;30704;0.939;30;0;385;3.0;3
M;No;30;No;Artista;5;Bajo;4;24426;0.709;30;1;333;0.5;2
M;No;46;Si;Medico;25;Bajo;1;114206;1.678;50;0;380;1.0;1
F;No;36;No;Medico;15;Bajo;4;23525;1.169;30;0;508;4.0;0
M;Si;61;Si;Ejecutivo;25;Alto;3;116497;1.013;80;1;340;0.5;1
F;No;43;Si;Ingeniero;25;Bajo;4;60798;1.882;30;0;462;1.0;3
M;Si;39;Si;Funcionario;15;Alto;4;19594;1.698;30;1;335;0.5;2
M;Si;44;Si;Artista;25;Medio;4;101684;2.02;30;0;549;4.0;3
M;Si;66;Si;Otros;25;Bajo;3;89754;1.287;80;0;558;1.0;3
M;;57;Si;Artista;25;Bajo;4;63532;1.17;80;0;422;3.0;3
F;Si;31;Si;Artista;5;Bajo;4;29447;1.33;30;0;473;3.0;0
M;No;32;Si;Artista;15;Bajo;2;28124;1.859;30;0;319;0.5;2
F;Si;56;Si;Artista;25;Alto;2;28380;1.267;30;0;515;1.0;3
M;Si;80;Si;Ejecutivo;25;Alto;2;75080;1.482;50;1;390;3.0;1
F;No;36;No;Otros;15;Bajo;5;24539;1.951;30;1;349;0.5;2
F;No;25;No;Funcionario;5;Bajo;3;23902;14.775;30;0;417;3.0;0
F;Si;45;Si;Artista;25;Medio;2;49640;1.606;50;0;379;3.0;3
F;No;40;Si;Ingeniero;15;Bajo;5;50622;0.893;30;1;320;0.5;2
F;Si;46;No;Negocios/empresa;25;Medio;2;25287;1.365;30;0;438;3.0;3
M;Si;32;No;Medico;15;Bajo;2;24285;1.376;30;0;404;3.0;0
F;No;50;Si;Construccion;25;Bajo;1;54344;1.033;50;0;350;0.5;1
M;Si;55;Si;Medico;25;Bajo;3;37607;1.502;30;0;389;1.0;1
M;No;46;Si;Artista;25;Bajo;1;117849;0.583;50;0;595;4.0;3
F;No;61;Si;Artista;25;Bajo;1;46173;1.306;50;0;371;1.0;1
F;No;47;Si;Ingeniero;25;Bajo;2;86008;1.209;50;0;324;0.5;1
M;No;33;Si;Funcionario;15;Bajo;1;31999;1.261;30;1;386;3.0;2
M;No;36;Si;Otros;15;Bajo;1;18461;1.422;30;0;520;1.0;0
M;Si;56;No;Ejecutivo;25;Alto;4;124675;11.305;200;0;402;3.0;4
M;Si;34;No;Ejecutivo;15;Alto;3;24533;1.652;30;1;348;0.5;2
M;Si;77;Si;Otros;25;Bajo;1;85642;1.365;50;0;514;1.0;3
M;Si;46;Si;Otros;25;Bajo;5;127252;1.111;200;0;345;0.5;4
M;No;32;No;Medico;15;Bajo;3;24028;1.468;30;0;305;0.5;2
F;Si;42;;Ingeniero;25;Bajo;2;82723;1.008;120;0;382;3.0;4
F;No;33;Si;Funcionario;15;Bajo;1;25609;0.801;30;0;456;3.0;0
F;Si;81;No;Servicios;25;Alto;2;98751;1.091;120;0;573;4.0;4
F;Si;52;Si;Otros;25;Medio;2;30144;0.72;30;0;600;4.0;3
F;No;44;Si;Funcionario;25;Bajo;1;71413;1.997;50;0;485;1.0;3
M;No;69;Si;Medico;25;Bajo;1;76570;1.189;50;0;386;3.0;3
F;Si;56;Si;Ingeniero;25;Alto;3;28785;1.326;30;0;537;1.0;3
F;Si;42;Si;Artista;25;Bajo;2;48854;1.767;50;1;341;0.5;1
F;No;29;No;Otros;5;Bajo;8;29269;2.547;30;0;453;3.0;0
M;Si;66;Si;Artista;25;Medio;3;50963;0.857;30;1;399;3.0;1
F;No;28;Si;Medico;5;Bajo;1;30272;2.064;30;0;306;0.5;2
M;No;47;No;Artista;25;Bajo;2;114820;0.564;120;0;481;3.0;4
M;Si;80;Si;Artista;25;Bajo;2;94551;1.111;50;0;406;3.0;3
M;No;24;No;Funcionario;5;Bajo;4;21892;2.72;30;1;378;3.0;2
M;Si;63;Si;Otros;25;Bajo;1;91241;1.737;50;1;370;3.0;1
M;Si;44;Si;Otros;25;Bajo;1;112008;1.215;50;0;560;4.0;3
F;Si;47;No;Otros;25;Medio;5;129170;1.228;200;0;476;3.0;4
F;Si;54;Si;Artista;25;Bajo;4;27896;0.779;30;0;529;4.0;3
M;No;45;Si;Medico;25;Bajo;1;82071;1.744;50;0;447;1.0;3
F;No;28;Si;Medico;5;Bajo;4;31333;2.789;30;0;349;0.5;2
F;No;34;Si;Construccion;15;Bajo;1;30642;1.514;30;0;326;0.5;2
F;No;29;No;Construccion;5;Bajo;1;27683;13.395;30;0;488;3.0;0
M;Si;56;Si;Medico;25;Alto;5;103353;1.072;30;0;335;0.5;1
M;Si;61;Si;Otros;25;Bajo;1;23921;1.17;30;0;474;3.0;3
F;Si;46;Si;Ingeniero;25;Bajo;1;128348;1.385;50;1;339;0.5;1
F;Si;66;Si;Artista;25;Medio;6;41594;1.717;30;0;387;3.0;3
M;No;40;Si;Artista;15;Bajo;1;82951;1.836;50;0;331;0.5;1
M;No;28;No;Funcionario;5;Bajo;3;18150;2.754;30;0;345;0.5;2
F;No;30;No;Funcionario;5;Bajo;5;29875;1.56;30;0;465;3.0;0
M;Si;57;Si;Artista;25;Bajo;1;119673;0.857;50;0;544;4.0;3
M;Si;40;No;Otros;15;Bajo;2;54107;1.56;30;0;496;3.0;0
M;Si;50;Si;Otros;25;Medio;4;39097;1.013;30;1;383;3.0;1
F;Si;77;Si;Artista;25;Alto;2;125793;0.622;50;0;342;0.5;1
M;No;32;No;Funcionario;15;Bajo;5;30803;1.031;30;0;542;4.0;0
M;No;22;No;Funcionario;5;Bajo;4;19444;12.015;30;1;395;3.0;2
F;No;39;Si;Negocios/empresa;15;Bajo;1;25968;1.284;30;0;304;0.5;2
M;No;20;No;Funcionario;5;Bajo;3;19482;2.513;30;1;346;0.5;2
F;No;41;No;Ingeniero;15;Bajo;1;86873;0.709;120;0;348;0.5;1
F;Si;63;Si;Artista;25;Alto;3;121358;1.248;80;0;451;1.0;4
M;No;25;No;Funcionario;5;Bajo;4;26011;2.961;30;0;476;3.0;0
M;Si;57;Si;Artista;25;Bajo;1;23032;1.326;30;0;485;1.0;3
F;Si;50;No;Ingeniero;25;Medio;7;63813;1.111;30;0;333;0.5;1
F;No;57;Si;Artista;25;Bajo;2;66431;1.228;50;0;411;1.0;1
M;No;23;No;Funcionario;5;Bajo;6;23349;1.029;30;0;518;4.0;0
F;No;40;No;Medico;15;Bajo;2;66296;1.836;30;1;392;3.0;2
F;Si;32;No;Medico;15;Medio;2;19656;1.951;30;1;325;0.5;2
M;Si;28;No;Otros;5;Medio;1;26473;1.995;30;1;315;0.5;2
F;No;24;;Funcionario;5;Bajo;4;14422;1.823;30;0;362;0.5;2
M;Si;55;Si;Artista;25;Bajo;4;77797;1.404;80;0;565;1.0;3
M;;58;Si;Artista;25;Medio;3;56593;0.622;80;0;490;3.0;3
M;No;43;Si;Otros;25;Bajo;2;68196;1.79;50;0;558;1.0;3
M;Si;41;Si;Artista;15;Medio;2;36817;1.1;50;1;338;0.5;1
M;No;34;No;Funcionario;15;Bajo;4;23853;1.422;30;0;440;3.0;0
M;Si;97;No;Servicios;25;Bajo;1;107917;1.6;120;0;536;4.0;4
M;No;40;No;Funcionario;15;Bajo;4;24595;0.778;30;1;367;3.0;2
F;No;44;Si;Construccion;25;Bajo;1;82222;0.778;50;0;565;4.0;3
M;Si;28;Si;Otros;5;Alto;2;24537;2.961;30;1;347;0.5;2
F;;20;No;Funcionario;5;Medio;3;21160;1.443;30;0;392;3.0;0
F;No;31;No;Funcionario;5;Bajo;4;26842;1.192;30;0;427;3.0;0
M;No;30;No;Medico;5;Bajo;3;18397;2.043;30;0;570;4.0;0
F;No;36;No;Medico;15;Bajo;3;23566;0.962;30;0;493;3.0;0
F;No;40;Si;Negocios/empresa;15;Bajo;3;58133;1.077;30;0;309;0.5;2
F;Si;58;No;Ingeniero;25;Bajo;3;80415;1.619;30;0;556;4.0;3
M;No;32;No;Medico;15;Bajo;4;30842;1.123;30;0;402;3.0;0
F;No;31;No;Ingeniero;5;Bajo;8;18327;1.813;30;0;417;3.0;0
M;No;25;No;Servicios;5;Bajo;4;29372;1.616;30;0;360;0.5;2
F;Si;39;Si;Otros;15;Bajo;4;27796;1.79;30;0;599;1.0;0
M;Si;96;Si;Servicios;25;Bajo;1;49760;0.955;50;1;380;3.0;1
M;Si;62;Si;Artista;25;Medio;4;86095;0.564;80;0;390;3.0;3
M;Si;61;Si;Artista;25;Medio;2;62613;1.228;50;0;496;3.0;3
M;Si;67;Si;Ejecutivo;25;Bajo;6;107305;1.717;30;0;523;1.0;3
M;No;44;No;Ingeniero;25;Bajo;4;96922;1.951;30;0;577;4.0;3
M;Si;47;Si;Ejecutivo;25;Alto;3;61580;1.306;80;0;490;1.0;3
F;No;63;Si;Artista;25;Bajo;1;99763;1.385;50;0;592;1.0;3
M;Si;45;Si;Otros;25;Medio;2;104993;1.146;50;0;586;4.0;3
M;Si;75;No;Ejecutivo;25;Medio;2;122514;1.072;120;0;407;3.0;4
F;Si;47;Si;Artista;25;Alto;4;31856;0.955;30;1;381;3.0;1
M;Si;68;Si;Artista;25;Medio;5;101133;1.502;30;0;337;0.5;1
F;No;33;Si;Medico;15;Bajo;7;28757;0.87;30;0;399;3.0;0
M;Si;39;Si;Funcionario;15;Bajo;1;28981;1.56;30;0;482;1.0;0
F;No;32;No;Funcionario;15;Bajo;4;23929;1.1;30;0;484;3.0;0
M;No;43;No;Otros;25;Bajo;3;94786;1.422;30;1;358;0.5;1
M;Si;54;No;Otros;25;Medio;6;113312;1.639;30;0;560;4.0;3
F;No;28;Si;Funcionario;5;Bajo;1;30509;13.395;30;0;544;4.0;0
M;Si;94;Si;Servicios;25;Bajo;1;66218;1.619;50;0;331;0.5;1
M;Si;56;Si;Medico;25;Medio;3;84092;1.189;80;0;431;3.0;3
F;Si;39;Si;Artista;15;Medio;3;22488;0.916;30;0;591;4.0;0
M;Si;36;No;Otros;15;Bajo;3;21872;0.709;30;1;335;0.5;2
M;No;45;Si;Otros;25;Bajo;1;55297;1.284;50;1;345;0.5;1
M;No;85;Si;Servicios;25;Bajo;1;116168;0.974;50;0;521;4.0;4
M;Si;69;Si;Artista;25;Bajo;1;35238;0.622;50;1;339;0.5;1
F;No;31;No;Ingeniero;5;Bajo;2;23370;1.261;30;0;519;4.0;0
M;No;31;Si;Medico;5;Bajo;2;25813;1.445;30;0;309;0.5;2
F;No;31;;Ingeniero;5;Bajo;3;20333;1.583;30;0;311;0.5;2
M;No;40;Si;Artista;15;Bajo;1;121728;1.169;50;1;376;3.0;1
F;Si;47;Si;Artista;25;Bajo;1;65953;0.837;50;0;374;3.0;3
F;No;33;Si;Servicios;15;Bajo;2;30761;1.698;30;0;502;4.0;0
F;Si;35;Si;Negocios/empresa;15;Bajo;2;24650;1.215;30;0;587;4.0;0
M;Si;36;Si;Otros;15;Medio;2;27944;1.905;30;0;558;4.0;0
M;No;36;Si;Medico;15;Bajo;4;29541;0.939;30;0;489;3.0;0
M;Si;61;Si;Artista;25;Medio;5;38542;1.267;30;0;351;0.5;1
M;Si;98;Si;Medico;25;Bajo;1;102940;0.583;50;0;330;0.5;1
M;Si;68;Si;Artista;25;Medio;2;110811;1.17;50;0;399;3.0;3
F;Si;39;Si;Medico;15;Medio;3;21908;1.813;30;0;341;0.5;2
M;Si;86;Si;Servicios;25;Alto;5;96823;1.424;30;1;329;0.5;1
F;No;41;Si;Artista;15;Bajo;1;106970;1.399;50;0;583;1.0;3
F;No;47;Si;Medico;25;Bajo;1;27011;1.6;30;0;533;1.0;3
M;No;24;No;Funcionario;5;Bajo;5;21245;2.202;30;1;326;0.5;2
M;Si;64;Si;Medico;25;Alto;2;91063;1.658;50;0;495;1.0;3
M;Si;55;Si;Otros;25;Medio;4;73666;1.326;80;1;390;3.0;1
M;Si;54;No;Ejecutivo;25;Alto;5;68297;11.305;30;0;519;4.0;3
M;Si;58;Si;Artista;25;Medio;2;79043;1.013;50;0;556;4.0;3
F;No;23;No;Funcionario;5;Bajo;7;20529;14.775;30;0;342;0.5;2
M;Si;52;Si;Negocios/empresa;25;Bajo;2;87086;0.837;50;1;380;3.0;1
F;Si;42;Si;Artista;25;Medio;3;48066;1.353;30;0;447;3.0;3
M;No;43;Si;Otros;25;Bajo;1;69483;0.985;50;1;375;3.0;1
F;Si;84;No;Servicios;25;Alto;2;128261;1.072;120;0;316;0.5;4
M;No;21;No;Funcionario;5;Bajo;4;15198;2.858;30;0;522;4.0;0
M;No;43;Si;Artista;25;Bajo;2;121225;1.813;50;0;530;1.0;3
F;Si;52;Si;Medico;25;Medio;5;78512;1.561;30;1;323;0.5;1
F;Si;39;Si;Construccion;15;Alto;7;23196;1.514;30;0;345;0.5;2
M;No;39;Si;Otros;15;Bajo;2;22280;0.778;30;0;530;4.0;0
F;Si;46;Si;Artista;25;Bajo;1;54573;1.306;50;0;370;1.0;1
F;Si;39;Si;Funcionario;15;Medio;2;25823;2.066;30;1;327;0.5;2
M;Si;40;Si;Artista;15;Medio;2;100583;1.537;50;1;386;3.0;1
M;No;20;No;Funcionario;5;Bajo;5;17877;1.581;30;0;330;0.5;2
M;Si;83;No;Ejecutivo;25;Alto;2;77963;0.681;120;0;510;4.0;4
M;Si;75;No;Artista;25;Bajo;2;87067;1.697;120;0;583;4.0;4
F;Si;55;No;Ingeniero;25;Medio;4;112818;1.541;30;1;344;0.5;1
F;Si;53;Si;Artista;25;Alto;4;98991;1.385;80;0;332;0.5;1
M;Si;45;Si;Artista;25;Bajo;2;114450;1.514;50;0;521;1.0;3
F;Si;54;Si;Ingeniero;25;Alto;5;90005;1.052;30;0;404;3.0;3
M;No;25;No;Funcionario;5;Bajo;4;28606;2.961;30;0;504;4.0;0
M;No;56;Si;Artista;25;Bajo;1;127115;0.564;50;1;387;3.0;1
F;Si;31;Si;Artista;5;Bajo;2;20625;1.031;30;0;512;4.0;0
M;Si;52;No;Ingeniero;25;Medio;3;89509;1.287;30;0;408;3.0;3
F;No;28;No;Medico;5;Bajo;1;30798;1.029;30;0;311;0.5;2
M;No;25;No;Funcionario;5;Bajo;4;22327;1.305;30;0;576;4.0;0
M;Si;53;Si;Artista;25;Bajo;3;81426;0.818;80;0;361;0.5;1
F;Si;36;Si;Artista;15;Medio;3;22403;1.583;30;0;474;3.0;0
F;No;36;Si;Funcionario;15;Bajo;4;26509;0.732;30;0;407;3.0;0
F;Si;77;Si;Artista;25;Alto;2;33426;1.033;30;0;351;0.5;1
F;No;51;Si;Artista;25;Bajo;2;27175;1.561;30;1;303;0.5;1
F;Si;52;Si;Artista;25;Bajo;1;78438;1.189;50;0;526;4.0;3
F;No;33;No;Funcionario;15;Bajo;9;19232;1.79;30;0;593;4.0;0
M;Si;66;Si;Ejecutivo;25;Alto;4;87357;1.697;80;1;399;3.0;1
M;No;21;No;Medico;5;Bajo;3;22038;2.064;30;0;576;4.0;0
F;Si;66;Si;Artista;25;Medio;3;61859;1.091;80;1;323;0.5;1
F;No;23;No;Funcionario;5;Bajo;1;19098;2.582;30;0;528;4.0;0
F;Si;91;Si;Servicios;25;Alto;2;125208;1.482;50;0;330;0.5;1
M;No;45;Si;Artista;25;Bajo;2;126133;1.652;50;0;425;1.0;1
M;Si;32;Si;Medico;15;Bajo;3;19816;1.675;30;0;384;3.0;0
M;Si;55;No;Ejecutivo;25;Alto;4;121568;0.74;200;0;532;4.0;4
F;No;36;No;Negocios/empresa;15;Bajo;4;27874;1.537;30;0;555;4.0;0
M;No;41;Si;Artista;15;Bajo;1;48217;1.468;50;0;587;1.0;0
F;Si;40;Si;Otros;15;Medio;3;102441;1.284;30;0;411;3.0;3
M;No;69;Si;Artista;25;Bajo;1;40269;1.346;50;0;334;0.5;1
F;No;24;No;Funcionario;5;Bajo;4;13235;1.788;30;0;539;4.0;0
M;Si;45;Si;Artista;25;Medio;3;110565;1.79;30;0;466;3.0;3
M;No;29;Si;Medico;5;Bajo;5;20486;1.443;30;0;314;0.5;2
F;No;39;Si;Artista;15;Bajo;3;26939;0.755;30;0;428;3.0;0
M;Si;67;Si;Otros;25;Medio;2;65634;0.896;50;0;495;3.0;3
F;;21;No;Funcionario;5;Bajo;1;14053;1.788;30;0;397;3.0;0
M;Si;55;Si;Artista;25;Medio;2;125441;1.424;50;0;549;4.0;3
F;No;40;Si;Artista;15;Bajo;1;66692;0.916;50;0;591;4.0;3
M;Si;78;Si;Servicios;25;Alto;1;73136;0.955;50;1;355;0.5;1
F;Si;83;No;Servicios;25;Alto;2;121324;0.896;120;1;336;0.5;4
F;No;34;No;Funcionario;15;Bajo;3;25926;1.859;30;0;418;3.0;0
M;Si;88;Si;Servicios;25;Bajo;1;24348;1.424;30;0;600;1.0;3
M;Si;74;Si;Ejecutivo;25;Alto;2;125621;1.365;50;0;576;1.0;4
M;Si;68;No;Otros;25;Medio;2;50415;1.17;30;0;445;3.0;3
M;Si;77;Si;Artista;25;Medio;2;53383;1.541;50;1;351;0.5;1
F;No;35;No;Negocios/empresa;15;Bajo;6;22211;2.043;30;1;364;0.5;2
M;No;31;Si;Funcionario;5;Bajo;5;23229;1.169;30;1;311;0.5;2
M;Si;46;Si;Artista;25;Medio;3;111860;1.15;80;0;595;4.0;3
M;Si;96;No;Servicios;25;Bajo;1;105228;0.661;120;1;379;3.0;4
F;No;29;No;Negocios/empresa;5;Bajo;4;24904;1.443;30;0;437;3.0;0
M;Si;65;Si;Otros;25;Bajo;1;31326;1.17;30;0;439;3.0;3
F;Si;33;Si;Construccion;15;Bajo;2;27796;0.985;30;0;547;4.0;0
M;Si;34;Si;Artista;15;Medio;2;30529;1.859;30;0;435;3.0;0
F;No;23;No;Funcionario;5;Bajo;2;20440;1.374;30;0;581;4.0;0
M;No;42;Si;Artista;25;Bajo;1;115393;1.284;50;0;484;1.0;3
F;No;33;Si;Otros;15;Bajo;4;26940;1.882;30;0;434;3.0;0
F;No;39;Si;Funcionario;15;Bajo;2;30370;1.399;30;0;418;1.0;2
F;Si;57;Si;Ingeniero;25;Alto;5;121539;0.759;200;0;554;4.0;4
M;Si;51;Si;Artista;25;Alto;4;115509;1.717;80;0;362;0.5;1
M;Si;52;Si;Otros;25;Medio;4;23676;1.639;30;1;326;0.5;1
M;Si;66;No;Otros;25;Bajo;2;77304;1.111;120;0;552;4.0;4
M;Si;78;Si;Servicios;25;Medio;2;73756;1.697;50;0;464;3.0;3
M;Si;40;Si;Artista;15;Medio;5;70195;1.261;30;0;599;4.0;3
M;No;58;No;Ingeniero;25;Bajo;3;72650;0.896;30;0;373;3.0;3
M;No;22;No;Servicios;5;Bajo;2;14249;1.305;30;0;390;3.0;0
F;Si;73;Si;Ingeniero;25;Bajo;2;48524;1.052;50;1;391;3.0;1
M;Si;41;Si;Artista;15;Bajo;2;31612;1.33;30;0;311;0.5;2
F;Si;52;Si;Artista;25;Alto;5;25667;1.346;30;1;374;3.0;1
F;Si;73;Si;Servicios;25;Alto;3;30263;0.994;30;0;303;0.5;1
M;Si;41;Si;Artista;15;Medio;3;97504;1.859;30;0;472;3.0;3
M;No;23;No;Funcionario;5;Bajo;4;19570;2.685;30;0;404;3.0;0
M;Si;55;Si;Artista;25;Bajo;1;106424;1.072;50;0;491;3.0;3
M;Si;62;Si;Artista;25;Bajo;3;59337;0.72;80;1;333;0.5;1
F;No;22;No;Funcionario;5;Bajo;3;14084;1.995;30;0;558;4.0;0
M;No;23;No;Funcionario;5;Bajo;4;17282;2.72;30;0;491;3.0;0
M;Si;36;No;Ejecutivo;15;Alto;2;28607;1.422;30;1;372;3.0;2
F;No;47;No;Negocios/empresa;25;Bajo;2;66924;1.756;30;1;396;3.0;1
M;No;41;Si;Artista;15;Bajo;1;124898;1.767;50;0;359;0.5;1
M;Si;63;Si;Artista;25;Medio;4;87325;1.033;80;0;337;0.5;1
M;No;36;No;Otros;15;Bajo;1;24310;1.951;30;0;476;3.0;0
M;Si;66;Si;Artista;25;Bajo;1;28331;0.759;30;1;397;3.0;1
M;Si;57;Si;Artista;25;Bajo;2;33720;1.248;30;0;529;1.0;3
M;No;39;Si;Otros;15;Bajo;3;22321;1.813;30;0;477;1.0;0
F;No;28;No;Funcionario;5;Bajo;5;26781;2.789;30;0;546;4.0;0
M;Si;54;Si;Artista;25;Medio;2;86646;1.306;50;0;545;4.0;3
F;No;46;Si;Artista;25;Bajo;1;72481;1.052;50;0;493;3.0;3
M;No;25;No;Funcionario;5;Bajo;4;21566;11.325;30;0;374;3.0;0
M;Si;89;Si;Otros;25;Bajo;1;55333;1.482;50;0;463;1.0;3
F;No;23;No;Otros;5;Bajo;4;21593;1.616;30;0;382;3.0;0
M;Si;35;Si;Otros;15;Medio;3;18522;1.238;30;0;322;0.5;2
M;No;28;No;Funcionario;5;Bajo;4;25182;12.705;30;0;413;3.0;0
F;No;51;Si;Ingeniero;25;Bajo;1;62077;1.111;50;1;317;0.5;1
F;No;30;No;Medico;5;Bajo;3;26821;1.008;30;0;541;4.0;0
F;;54;Si;Otros;25;Alto;1;29395;0.818;30;0;383;3.0;3
M;No;24;No;Funcionario;5;Bajo;2;21770;1.029;30;0;394;3.0;0
M;Si;58;Si;Medico;25;Medio;2;109785;1.111;50;0;491;3.0;3
F;Si;87;No;Ingeniero;25;Alto;2;108364;0.935;120;0;532;4.0;4
F;No;36;No;Ingeniero;15;Bajo;3;24682;1.813;30;1;301;0.5;2
M;Si;79;Si;Servicios;25;Alto;2;27085;1.678;30;0;434;1.0;1
F;No;41;Si;Servicios;15;Bajo;2;108217;1.169;50;0;371;3.0;3
M;No;24;No;Negocios/empresa;5;Bajo;3;18958;11.325;30;0;393;3.0;0
M;Si;90;No;Ejecutivo;25;Alto;4;115555;11.305;30;0;368;3.0;3
M;Si;96;Si;Servicios;25;Alto;2;98225;0.857;50;1;309;0.5;1
M;Si;52;Si;Artista;25;Bajo;2;103702;1.561;50;0;331;0.5;1
F;No;36;Si;Artista;15;Bajo;2;23884;1.33;30;0;488;1.0;0
F;Si;75;Si;Artista;25;Medio;2;34640;1.365;30;0;356;0.5;1
M;Si;54;Si;Artista;25;Medio;3;68488;1.287;80;0;559;4.0;3
M;No;20;No;Funcionario;5;Bajo;8;22851;0.995;30;0;359;0.5;2
M;Si;68;Si;Medico;25;Bajo;1;117196;1.58;50;0;484;1.0;4
M;Si;43;No;Otros;25;Medio;5;36731;1.054;30;0;577;4.0;3
M;Si;75;No;Ejecutivo;25;Alto;2;21463;1.248;30;1;382;3.0;1
M;Si;55;Si;Ejecutivo;25;Alto;4;99701;1.013;80;0;492;3.0;3
M;;22;No;Negocios/empresa;5;Bajo;2;13406;2.099;30;0;506;4.0;0
M;Si;56;Si;Artista;25;Bajo;2;92154;1.717;50;0;383;1.0;1
M;Si;50;Si;Ejecutivo;25;Alto;4;115955;1.287;80;1;309;0.5;1
M;Si;47;No;Otros;25;Bajo;1;68078;1.267;30;1;319;0.5;1
M;Si;80;Si;Artista;25;Medio;2;97236;0.72;50;0;301;0.5;1
M;Si;47;Si;Ingeniero;25;Medio;2;24339;1.404;30;0;463;3.0;3
M;No;28;Si;Otros;5;Bajo;2;22327;2.168;30;0;403;3.0;0
F;Si;68;No;Ingeniero;25;Bajo;1;27696;11.305;30;0;451;3.0;3
